id,type,context,text,display_author,source,reference,is_exact,attribution_mode,weight,active,source_url,notes
therese_001,st_therese,general,La confianza abre el corazón al Amor.,Santa Teresita de Lisieux,C’est la confiance,n. 1,true,exact,5,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_002,st_therese,home,Jesús es mi único amor.,Santa Teresita de Lisieux,C’est la confiance,n. 8,true,exact,5,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_003,st_therese,parish_delivery,Quiero pasar mi cielo haciendo el bien en la tierra.,Inspirado en Santa Teresita,Dichos atribuidos / últimos coloquios,,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_004,st_therese,order_created,"Una obra pequeña, ofrecida con amor, tiene peso eterno.",Inspirado en Santa Teresita,Historia de un alma,caminito espiritual,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_005,st_therese,home,El caminito es confiar y amar en lo pequeño.,Inspirado en Santa Teresita,Historia de un alma,Manuscrito B,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_006,st_therese,delivery_registered,No hace falta hacer cosas grandes para amar mucho.,Inspirado en Santa Teresita,Historia de un alma,Manuscritos,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_007,st_therese,payment_registered,Las manos vacías pueden estar llenas de confianza.,Inspirado en Santa Teresita,C’est la confiance,n. 3,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_008,st_therese,general,La pequeñez no impide aspirar a la santidad.,Inspirado en Santa Teresita,C’est la confiance,n. 15,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_009,st_therese,home,Dios mira con ternura a quien se sabe pequeño.,Inspirado en Santa Teresita,Historia de un alma,caminito espiritual,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_010,st_therese,order_created,Cada detalle hecho por amor puede salvar un alma.,Inspirado en Santa Teresita,Historia de un alma,espíritu misionero,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_011,st_therese,delivery_registered,El amor no permanece inactivo.,Inspirado en Santa Teresita,C’est la confiance,n. 12,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_012,st_therese,expense_registered,"Cuando algo cuesta, también puede ser ofrenda.",Inspirado en Santa Teresita,Historia de un alma,vida cotidiana,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_013,st_therese,general,La confianza no calcula: se abandona al Amor.,Inspirado en Santa Teresita,C’est la confiance,nn. 23-24,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_014,st_therese,home,Seguir siendo pequeña también es un camino.,Inspirado en Santa Teresita,C’est la confiance,n. 16,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_015,st_therese,parish_delivery,Una rosa escondida también perfuma la Iglesia.,Inspirado en Santa Teresita,C’est la confiance,lluvia de rosas,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_016,st_therese,order_created,Preparar algo sencillo con amor también evangeliza.,Inspirado en Santa Teresita,Historia de un alma,evangelización por atracción,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_017,st_therese,general,La santidad empieza aceptando ser pequeño ante Dios.,Inspirado en Santa Teresita,Historia de un alma,Manuscrito C,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_018,st_therese,home,La alegría verdadera nace de saberse amado.,Inspirado en Santa Teresita,Historia de un alma,espiritualidad teresiana,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_019,st_therese,delivery_registered,El servicio silencioso también puede ser una flor.,Inspirado en Santa Teresita,Historia de un alma,caminito,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_020,st_therese,payment_registered,La gratitud convierte lo pequeño en canto.,Inspirado en Santa Teresita,C’est la confiance,n. 21,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_021,st_therese,general,La confianza es audaz porque se apoya en Dios.,Inspirado en Santa Teresita,C’est la confiance,n. 17,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_022,st_therese,home,Jesús levanta a los pequeños en sus brazos.,Inspirado en Santa Teresita,C’est la confiance,n. 16,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_023,st_therese,order_created,Una tarea común puede hacerse extraordinaria por amor.,Inspirado en Santa Teresita,Historia de un alma,vida ordinaria,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_024,st_therese,parish_delivery,Dar sin ruido es una manera de amar como María.,Inspirado en Santa Teresita,Historia de un alma,caridad escondida,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_025,st_therese,general,El amor verdadero se reconoce en la sencillez.,Inspirado en Santa Teresita,C’est la confiance,sección “Seré el amor”,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_026,st_therese,delivery_registered,La flor más pequeña agrada cuando se ofrece entera.,Inspirado en Santa Teresita,Historia de un alma,imagen de la flor,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_027,st_therese,home,No mires tanto tu pobreza; mira más su misericordia.,Inspirado en Santa Teresita,C’est la confiance,nn. 20-21,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_028,st_therese,payment_registered,Dios no desprecia los esfuerzos pequeños.,Inspirado en Santa Teresita,C’est la confiance,n. 91,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_029,st_therese,general,La misión puede nacer desde un corazón escondido.,Inspirado en Santa Teresita,C’est la confiance,alma misionera,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_030,st_therese,order_created,Amar es cuidar lo que nadie aplaude.,Inspirado en Santa Teresita,Historia de un alma,vida oculta,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_031,st_therese,delivery_registered,"El bien pequeño, hecho fielmente, deja perfume.",Inspirado en Santa Teresita,Historia de un alma,pequeña vía,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_032,st_therese,parish_delivery,"La caridad no busca ruido, busca fruto.",Inspirado en Santa Teresita,C’est la confiance,caridad,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_033,st_therese,home,El amor de Jesús hace fecunda la pequeñez.,Inspirado en Santa Teresita,C’est la confiance,n. 16,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_034,st_therese,expense_registered,También la renuncia puede convertirse en flor.,Inspirado en Santa Teresita,Historia de un alma,sacrificio pequeño,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_035,st_therese,general,La confianza es descansar en el corazón de Dios.,Inspirado en Santa Teresita,C’est la confiance,abandono cotidiano,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_036,st_therese,payment_registered,Lo recibido con gratitud se vuelve misión.,Inspirado en Santa Teresita,Historia de un alma,espíritu misionero,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_037,st_therese,order_created,No subestimes una obra hecha con cariño.,Inspirado en Santa Teresita,Historia de un alma,caminito,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_038,st_therese,general,El amor puede esconderse en una acción mínima.,Inspirado en Santa Teresita,Historia de un alma,vida cotidiana,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_039,st_therese,home,La pequeñez aceptada abre espacio a la gracia.,Inspirado en Santa Teresita,C’est la confiance,n. 14,false,paraphrase,4,true,https://www.vatican.va/content/francesco/es/apost_exhortations/documents/20231015-santateresa-delbambinogesu.html,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
therese_040,st_therese,delivery_registered,Servir con dulzura también es rezar.,Inspirado en Santa Teresita,Historia de un alma,caridad concreta,false,paraphrase,4,true,https://www.gutenberg.org/ebooks/16772,"Exacta solo si is_exact=true; si no, usar como paráfrasis/inspiración."
